Log 34. Critical review of tracker/docs/outlook.md and the build todo list that follows it.
2026-09-09T16:53:45Z read tracker/docs/outlook.md and listed tracker/docs | 483 lines and no todo-outlook file exists so the review comes first and the todo list is new.
2026-09-09T16:53:45Z read 33.log and the three existing todo docs | 33.log wrote outlook.md today so this review is of one session old work and todo-jira-option-a.md is the shape the outlook todo has to match.
2026-09-09T16:55:36Z verified the code claims of outlook.md against tracker | router declares six screens and lambda.ts exports three handlers and USER#<sub> JIRA is the item shape so those three claims hold.
2026-09-09T16:55:36Z read jira-handlers.ts line 179 | the Jira month is GET /api/jira/completed/<period> as a path segment because neither adapter passes a query string to a handler so the ?period=2026-08 route in outlook.md cannot work.
2026-09-09T16:55:36Z read apps/web/src/lib/jira.ts line 61 | there is no PKCE on the Atlassian flow and no verifier is kept so the claim that the browser half is the Jira code with two strings changed is wrong.
2026-09-09T16:55:36Z read packages/core/src/calendar.ts | it keys bank holidays by location code and holds no IANA zone anywhere so the zone the Prefer header needs does not exist in the tracker yet.
2026-09-09T16:55:36Z read packages/core/src/hours.ts line 135 | daysFromHours already rounds up to the half day and groupByWorkdayId and hoursTotals already group and total so the Outlook screen reuses all three rather than restating the arithmetic.
2026-09-09T16:55:36Z fetched the Graph list calendarView reference | startDateTime and endDateTime are interpreted by the offset in the value and are not impacted by Prefer outlook.timezone and a value with no offset is read as UTC so the paragraph in outlook.md describes the bug it warns against.
2026-09-09T16:55:36Z fetched the Graph permissions reference | Calendars.ReadBasic is delegated only and excludes body and attachments and extensions so categories is not excluded and there is no application form of it.
2026-09-09T17:01:13Z rewrote tracker/docs/outlook.md from 483 lines to 724 | fixed the Prefer header bounds and the sensitivity contradiction and the query route and the PKCE claim and the field count and added the immutable id and the all day exclusive end and the missing showAs and sensitivity values.
2026-09-09T17:01:13Z reordered the recommendation to option A on the user steer | the user asked for the Jira shape so option A is the recommendation and a file by file table names the counterpart of every Jira file.
2026-09-09T17:04:49Z wrote tracker/docs/todo-outlook-option-a.md | 504 lines and 137 unchecked items over fifteen sections with the absence half at sections 7 and 8 so it ships before the probe result is needed.
2026-09-09T17:04:49Z checked both files for commas and for chained and the clauses and for line width | the only two commas sit inside a select URL and a Record type and no chain survives and every line over eighty ends in an unbreakable code span.
2026-09-09T17:04:49Z verified readJiraMap at handlers.ts:230 | it already takes a key pattern and a bound so the three Outlook maps pass through it and only the immutable id needs a pattern of its own.
2026-09-09T17:04:49Z fixed the question cross references in both files | the merge question is five and seven rather than six and option B consents once then reruns the flow daily.
2026-09-09T17:05:09Z reread the drop rules and tightened two statements | nothing else is dropped now excludes an all day event from contributing hours and the confidential note reads as a rule rather than as draft history.
2026-09-09T17:38:26Z read docs/jira-admin.md and docs/identity-centre-request.md and docs/domain-request.md | two shapes exist and the Jira one is the match because the ask is an approval with a justification rather than a five minute click list.
2026-09-09T17:40:51Z fetched four Entra references for the request doc | the portal path and the twenty four month secret cap and the http localhost exception and the user consent settings path are all quoted from Microsoft rather than remembered.
2026-09-09T17:40:51Z wrote tracker/docs/outlook-admin.md | 233 lines with two routes and a five step click path and the two ids left as paste placeholders because nothing is registered yet.
2026-09-09T17:40:51Z aligned outlook.md and the todo with the new file | the scope count read one where it is two and the file no longer says it does not exist and the todo gained a send it step.
