subid;condition;pre;post
1;meta;228,1411976;281,2488576
2;meta;257,5069416;299,785778
3;meta;172,9962195;185,6181451
4;meta;195,2116157;234,0194496
5;meta;179,1700043;187,8013069
6;control;211,1526874;271,8967644
7;meta;163,2376387;186,6569865
8;app;226,7276761;252,1350912
9;control;207,2145614;202,5752414
10;control;189,1426348;190,7466084
11;meta;188,9553997;240,1741093
13;control;218,7247259;180,6700248
14;app;194,9761653;264,9737879
15;control;265,2036966;253,2635203
16;app;210,6930893;245,2387678
17;meta;219,247194;234,7811665
18;control;165,8248884;175,4657348
19;app;220,2013421;220,0538547
20;app;215,4169546;223,2809642
21;meta;110,3606599;114,0627789
22;app;267,0580804;288,3222584
23;control;113,7034787;119,8178936
24;app;174,1941398;211,4061738
25;app;180,7068725;243,7441452
26;app;133,265727;280,7388403
27;meta;223,0461841;280,6830681
28;control;186,3596229;185,0131456
29;app;107,535398;140,9140378
30;control;184,3425744;170,0938116
31;control;193,1371542;198,0538015
